,isbn,title,authors,published,description
309,9780061441714,"NRSV, The Daily Bible","['Catholic Bible Press ,']",2013-08-13,"A companion for every day of the year! Many people have embraced the spiritual disciple of reading through the Bible in a year. Now the NRSV Daily Bible makes the entire New Revised Standard Version available to you in a daily reading format, helpfully divided into 365 manageable readings. Along with the biblical text, this resource offers you wisdom from the classic writings of Christians luminaries such as Mother Teresa, Henri Nouwen, Dietrich Bonhoeffer, N. T. Wright, Madeleine L’Engle and Frederick Buechner. Renowned for its beautiful balance of scholarship and readability, the NRSV faithfully serves the church in personal spiritual formation, in the liturgy, and in the academy. The foremost Bible translation vetted by Protestant, Catholic, Orthodox, Evangelical, and Jewish scholars invites you to deeply explore Scripture. Features: The text of the New Revised Standard Version (Protestant canon), vetted by an ecumenical pool of Christian academics and renowned for its beautiful balance of scholarship and readability A daily reading plan that can be started at any time during the year Daily insights from thinkers like Mother Teresa, Henri Nouwen, Dietrich Bonhoeffer, N. T. Wright, Madeleine L’Engle and Frederick Buechner Individual book introductions to aid in the practice of prayerful reading Presentation page"
310,9780190303488,Oxford Australian Integrated School Dictionary and Thesaurus,['Mark Gwynn'],2009,"Edited at the Australian National Dictionary Centre in Canberra, this innovative reference book is a dictionary and thesaurus in a single volume. Completely revised and updated, with hundreds of new entries, this single volume includes: over 15 000 headwords -- a simple respelling system to guide pronunciation clear definitions with Australian usage -- interesting and useful derivations that shed light on meaning and help with recognition of word elements -- example phrases or sentences that identify the different meanings of the headword and show how it is used in context -- the top section of each page contains the dictionary text, while the lower section contains corresponding thesaurus entries for two-thirds of the words covered by the dictionary -- new words and terms include 'anime', 'webcam', 'counterterrorism', 'ringtone', 'cyberspace', 'techno', 'carbon offset', 'chocker', 'HDTV', 'google' and 'text'."
311,9781741353402,Think Mentals Student Book 5,"['Chris Linthorne', 'Sandra Williams']",2015-05,
312,9781925487336,Grammar Conventions,"[""Lauren O'Brien"", 'John Walters']",2012,"""Grammar conventions Activity Books 1 to 6 follow the new national direction. They are desinged to develop students' grammatical skills.""--From back cover."
313,9780987127181,Reading Conventions,"[""Lauren O'Brien""]",2012-01-01,"""Reading Conventions is a completely new series designed to develop students' reading and comprehension skills. It has a specific focus on inferencing. The aim of Reading Conventions is to systematically provide all students with interesting and achievable activities, based on fulfilling national comprehension and reading requirements"".-- Source of summary, ""Teachers 4 Teachers-[Reading Conventions"", accessed 31 May 2013."
314,9789810730727,Scholastic Pr1me Mathematics,,2014,
315,9789810733001,Scholastic Pr1me Mathematics,,2014,
316,9781488621284,New Wave Mental Maths,,2011,"""New wave mental maths is a series of student workbooks, written to provide a comprehensive and structured daily mental maths program for students in Australian primary schools.""--Foreword."
317,9781488621291,Targeting Maths,"['Gloria Harris', 'Garda Turner']",2004,
318,9781877085475,Victorian Targeting Handwriting,"['Tricia Dearborn', 'Jo Ryan', 'Stephen Michael King']",2004,"Targeting Handwriting Victoria Year 6 Student Book focuses on develop ing students' own styles, while emphasising fluency and legibility. The book includes: 'Mature' real-world applications, e. g. developing a signature and tips for note taking teaching pag es with two sets of copying lines, for reinforcement and extra practice a section on calligraphy The Targeting Handwritin g Years 3-6 Student Books have been designed to make learning cursive ha ndwriting as easy as possible for students. New skills are introduced se quentially, so that students build on skills one by one and aren't calle d on to use skills that haven't been introduced yet. Wherever pos sible, students copy words underneath models, so that left-handers aren' t disadvantaged, and practice of numerals and punctuation is integrated into the writing activities. The books also encourage and support studen t self-assessment."
319,9780733978593,Enrich-e-matics,['Anne Joshua'],2006,Enrich-e-matics 3rd Edition combines the best from the highly successful seriesIntroducing Enrich-e-matics and Enrich-e-matics 2nd Edwith new features and content to extend and enrich the mathematics opportunities for all students. A new design and a fresh organisation breathes new life into the fantastic material that has made the Enrich-e-matics series a success since 1991.
320,9780190323219,Oxford Grammar Student Book 5,['Andrew Woods'],2020-06-16,"Oxford Grammar explores key grammatical concepts in line with the requirements of the Australian Curriculum: English, and helps students connect grammar features to a writing purpose. Best-selling textbook author Andrew Woods uses appealing stimulus pages and authentic literary texts to model grammar in context at the word, sentence and text level, with related writing activities for practice. Oxford Grammar will provide students with the tools they need to be effective when expressing their own ideas.The Student Books feature:complete coverage of the Australian Curriculum: Englishalignment to the requirements of the ACARA Literacy Learning Progression'Test yourself' units offering cumulative revision and preparation for national testing'Using grammar in texts' units to link grammar with the purpose of informative, imaginative and persuasive text typesextension and enrichment unitsopportunities for self-reflection and progress checkinga handy glossary of terms."
